,50,16,84,2.5,97.5,MaxLike,MaxProb,-1sigma,+1sigma,-2sigma,+2sigma
lnprobability,-14.792229140926187,-16.458862913925785,-13.323466130522139,-18.711322199524563,-10.24083332468897,-9.132001249118487,-9.132001249118487,1.6666337729995977,1.4687630104040483,3.919093058598376,4.551395816237218
lnlike,-14.792229140926187,-16.458862913925785,-13.323466130522139,-18.711322199524563,-10.24083332468897,-9.132001249118487,-9.132001249118487,1.6666337729995977,1.4687630104040483,3.919093058598376,4.551395816237218
fspot,0.18230055159101038,0.06318514816030957,0.3611332822759073,0.011139712225936748,0.5292059847235002,0.3069190762572895,0.3069190762572895,0.11911540343070082,0.1788327306848969,0.17116083936507365,0.34690543313248984
ffac,0.16046318282885025,0.04453935691044219,0.35561218950235873,0.011897458819040252,0.5255800958001687,0.3325590332336048,0.3325590332336048,0.11592382591840805,0.19514900667350848,0.14856572400981,0.3651169129713185
Tphot,2581.3111542004626,2514.3101007256496,2646.4822479477143,2464.6761526535547,2713.069457752828,2544.1819382793847,2544.1819382793847,67.00105347481303,65.17109374725169,116.63500154690792,131.7583035523653
deltaTspot,-186.86902868657563,-263.5287440382706,-128.948291922112,-337.83585730093364,-103.71053367622798,-229.69690444492642,-229.69690444492642,76.65971535169496,57.92073676446364,150.966828614358,83.15849501034765
deltaTfac,180.61524647962403,120.38668983272234,344.87049137104464,102.45678772185795,638.504938800947,103.85206894082077,103.85206894082077,60.228556646901694,164.2552448914206,78.15845875776608,457.88969232132297
Dscale,7053.555924212231,6854.755821381726,7205.072772928582,6686.7825708109995,7349.741315934251,6778.555283603873,6778.555283603873,198.80010283050524,151.51684871635098,366.77335340123136,296.18539172202054
logg_phot,4.223941606732174,3.409948271581009,5.211728909375948,2.9574574293754776,5.377466207578443,5.308730314340235,5.308730314340235,0.8139933351511646,0.987787302643774,1.2664841773566962,1.1535246008462696
dlogg_het,-0.2550211757135503,-0.638094386990934,-0.06758922832221492,-1.2967806096934873,-0.01205386653517529,-0.058477952484847995,-0.058477952484847995,0.3830732112773837,0.1874319473913354,1.041759433979937,0.24296730917837503
