wave,bestfit,median,+1 sigma,-1 sigma,+2 sigma,-2 sigma,+3 sigma,-3 sigma
0.7099729286149993,6906.420277762262,7005.939008504246,7302.673139581746,6668.616350998164,7560.9120543525005,6314.831252258242,7727.720133831033,6015.580468194184
0.8867740485722527,7306.150582023656,7440.608873052448,7543.543888455029,7328.532397564375,7645.973115628887,7206.308258975463,7739.875940682719,7078.950073398303
0.9412618201860499,7480.442343516969,7546.001632883746,7634.601445603144,7456.845943483365,7725.406548904643,7367.895077785584,7813.2094851911725,7293.585483954766
0.9810000450280861,7198.63423405717,7241.752712651847,7297.539561936605,7182.907251235777,7353.378184817976,7122.6680679284145,7397.543309451665,7065.951064301905
1.020622080068586,7024.796923281439,7017.876262058464,7132.817408831255,6907.867235080111,7251.869086726357,6796.740061573037,7344.421534357675,6686.153476652031
1.060095641567595,7368.854964226675,7320.938431073108,7365.02511840601,7272.9506767794255,7405.549051633151,7220.575699993171,7441.221251569037,7171.619559633825
1.100312450279089,7357.803525545441,7386.767418927114,7424.058169417914,7349.62686569364,7462.593001689688,7313.588217328398,7502.605855305332,7276.7584903569905
1.1403107098848622,7346.555431488569,7366.282316352472,7400.022423450134,7332.98483038971,7436.5789604734455,7300.7930290921395,7475.936134154413,7270.775928408543
1.180060150756473,7297.565299274019,7319.48093195274,7350.422059196792,7289.802370909984,7385.1640906988805,7260.14662408835,7422.079918386092,7232.680992783191
1.2200065667463627,7366.364358851397,7356.416378595501,7388.011246655522,7324.923465777134,7419.680402318949,7293.379689985943,7446.694800651671,7266.096538003352
1.2596502465464274,7322.000477758125,7326.192625759414,7357.464592650555,7295.639266019997,7389.178611959615,7264.105632321545,7416.914418620001,7235.105597092173
1.2994505945361032,7318.390349092374,7336.759105409719,7376.631820246775,7296.470858242328,7415.534238972808,7254.906858820071,7449.105896528763,7215.421821600641
1.3389051067131208,7380.607367099539,7363.10529263103,7395.099669659776,7331.845661394513,7428.748975943713,7299.634596134468,7455.655063901088,7272.715052106535
1.3784834265511134,7512.785897560966,7463.653912192559,7521.465145550366,7409.043201201347,7578.43341717646,7357.83598992783,7626.715490028452,7315.296776951463
1.4186521042782625,7511.351669318611,7461.082628252957,7522.978813212919,7401.5544414564765,7583.7922040638505,7346.622841371805,7637.563932594339,7300.945102105822
1.4584340207895898,7509.213988428089,7463.202678654497,7519.132303762075,7408.5938141387605,7571.871413708531,7356.592357559499,7620.050636946343,7313.633515675931
1.498301228889331,7502.330637079653,7461.1865989711805,7511.120854437177,7411.456844957099,7557.1008403805645,7362.056059399564,7601.172006088458,7320.412491433774
1.5377562582408877,7477.974028060574,7457.272649388424,7500.094631678853,7411.679200489999,7543.898780079217,7365.946090337633,7583.117544084404,7329.122765825067
1.5772777950192758,7424.625954653503,7426.71014483122,7466.631718068979,7385.783483766677,7507.509049918543,7345.511038022012,7542.825075223076,7310.918389777166
1.6173462766688813,7357.950137472964,7382.254192695965,7423.925716781685,7341.501596106616,7464.41139098539,7301.700907415164,7496.922575489627,7257.793230181468
1.656977993896159,7305.791683012259,7343.353240473877,7388.3769905081435,7298.784243378408,7429.6281949117665,7254.1746871823425,7464.65409817496,7212.231467582888
1.6966563830553223,7298.1872613857095,7330.463640508722,7373.110951864229,7287.805685681803,7413.0231571995055,7244.40702326692,7446.353992845807,7207.073475769644
1.7368661875173044,7340.804411039864,7335.424464015645,7365.607222826533,7303.876662518969,7396.723402831451,7270.381442572192,7423.4739596295185,7235.757819350916
1.77662236069012,7305.7667304366505,7291.376272748706,7326.771826150557,7255.793735564457,7361.480660145882,7209.603252078869,7392.811475340627,7162.903847577684
1.8164118604714758,7301.852908178428,7288.0566500232035,7328.543821523104,7248.852595065766,7367.05552424236,7200.074164086861,7403.897529838837,7150.0102281999125
1.8562306661064945,7304.5415136735355,7285.562606827142,7330.6586495770625,7242.435686852865,7375.404242404855,7190.842255083923,7411.695869255856,7138.236518049607
1.8955844642240989,7338.906818607866,7317.558303046592,7352.620705992938,7282.993874326909,7387.326069920056,7238.833317630429,7415.4018440881755,7186.7773855195865
1.9354547007366545,7281.3945212941535,7276.495401007731,7312.8209555161475,7240.940211991447,7348.579507690394,7198.13202527903,7379.5042132429135,7158.547328118173
1.9753471661638524,7248.600861728264,7243.835168189575,7287.218503658764,7201.915639028243,7330.0379074990315,7155.463956708155,7366.1679080397225,7113.508589736274
2.0152606573452827,7296.076317525404,7281.80337372441,7317.215958466343,7246.966148511281,7351.075651939114,7205.380388812342,7383.181922074676,7164.092059965488
2.0551931809061523,7311.421672551053,7306.253212124783,7335.746567042863,7276.219382202796,7364.856748828926,7241.6948674612095,7392.150318143917,7201.09192743432
2.0946504584030494,7298.810796155782,7312.215364108966,7345.282839189015,7278.222739053921,7379.326500927808,7241.916285756588,7408.273883691154,7209.002304851817
2.1346177313730768,7270.892886317437,7300.294271083997,7341.082025761566,7257.332509094084,7380.639357648623,7214.664990076419,7414.540885744669,7179.6036748235465
2.1746005021616694,7238.986592026381,7279.964382563125,7327.455359897335,7231.304868417209,7371.110274515602,7184.65257222718,7408.01512913393,7145.938559273064
2.214104111705267,7204.2477620164345,7247.584218303758,7299.398696781387,7194.3024502648295,7349.226207876988,7142.758415656384,7388.174793900091,7098.945898635551
